"ID","Project ID","Material ID","Quantity"
"2","8","2","2.00"
"3","8","5","1.00"
"4","52","86","1.00"
"5","32","53","15.00"
"6","32","54","1.00"
"7","32","52","4.00"
"8","32","6","0.25"
"9","47","89","32.00"
"10","47","90","32.00"
"11","47","91","32.00"
"13","8","3","1.00"
"17","55","87","1.00"
"18","22","35","1.00"
"19","14","13","2.00"
"20","14","94","2.00"
"21","38","4","1.00"
"22","23","161","85.00"
"23","23","29","1.00"
"24","25","207","230.00"
"25","25","99","14.00"
"26","25","102","7.00"
"27","41","27","80.00"
"28","41","62","3.00"
"29","41","9","12.00"
"30","41","6","1.00"
"31","41","11","12.00"
"34","41","39","2.00"
"36","48","78","1.00"
"37","46","77","1.00"
"39","13","106","1.25"
"40","7","1","4.00"
"44","43","117","8.00"
"45","43","11","8.00"
"46","43","10","8.00"
"47","57","127","2.00"
"48","57","124","1.00"
"49","57","125","1.00"
"51","57","126","1.00"
"52","57","130","10.00"
"55","57","118","1.00"
"59","58","44","250.00"
"60","58","49","1.00"
"61","36","56","1.00"
"62","4","72","1.00"
"63","4","130","25.00"
"64","4","132","5.00"
"65","20","143","8.00"
"66","20","25","20.00"
"67","20","12","0.50"
"68","40","9","65.00"
"69","40","10","65.00"
"70","40","11","65.00"
"71","40","12","1.00"
"72","40","6","100.00"
"73","42","65","1.00"
"74","42","131","20.00"
"75","42","133","2.00"
"76","42","141","3.00"
"77","21","27","50.00"
"79","11","186","7.00"
"81","11","188","130.00"
"82","11","189","130.00"
"83","11","190","130.00"
"84","11","6","32.00"
"85","1","148","12.00"
"90","57","121","1.00"
"94","50","85","1.00"
"95","47","109","1.00"
"96","47","108","1.00"
"97","47","149","3.00"
"99","10","7","1.00"
"102","59","80","2.00"
"103","59","79","2.00"
"104","59","132","1.00"
"105","59","185","1.00"
"106","21","187","320.00"
"107","60","144","65.00"
"108","60","9","100.00"
"116","60","145","100.00"
"117","60","146","100.00"
"118","61","197","1.00"
"119","61","191","1.00"
"120","61","204","1.00"
"121","61","205","1.00"
"122","61","206","1.00"
"123","0","0","1.00"
"124","62","13","10.00"
"125","62","117","10.00"
"126","64","208","1.00"
"127","64","210","1.00"
"128","64","130","20.00"
"129","64","211","2.00"
